tweet_id~twitter_handle~parent_tweet_id~tweet~tweet_time~location
1644101185387757570~1298646786790301698~1644093608381886465~@CFCshq @Lil_Washed @PeakSanti Non of Chelsea players that won the UCL with Tuchel will be remembered because the m… https://t.co/Fryx77BgIO~2023-04-06 22:14:03+00:00~
1644101180417556484~1593707336606040066~None~"RT @AFTVMedia: Nine to go... 👀 

#AFC #Arsenal https://t.co/Yrj3Ju0rBR"~2023-04-06 22:14:01+00:00~
1644101172209360897~630464480~1643903191816232964~@lawrence_bury Crazy what good owners can achieve, probably the reason you stopped supporting Arsenal and started s… https://t.co/cqT8RCXq79~2023-04-06 22:14:00+00:00~Ireland
1644101163648798720~1309127946515427337~None~RT @UtdDistrict: #mufc’s interest in Alexis Mac Allister is ‘absolutely confirmed’. Arsenal and Liverpool also have confirmed interest. [@C…~2023-04-06 22:13:57+00:00~Kaduna, Nigeria
1644101163648708609~400326229~None~RT @1kevincampbell: Two of my Arsenal Brothers and such great lads too ⭐️🙏🏿❤️⚽️👍🏿⭐️👏🏿👏🏿👏🏿💯~2023-04-06 22:13:57+00:00~
1644101150789058561~1470858436304850956~None~"RT @Michael_Little_: The GOP has a new tool in their arsenal to deprive us of democracy.

Removing fairly elected Democrats on trumped up c…"~2023-04-06 22:13:54+00:00~
1644101146800435200~1222239337548435456~None~🚨🚨🌕| The interest of #mufc in Alexis Mac Allister is absolutely confirmed. What I can confirm is that two clubs out… https://t.co/16iZcnw2GE~2023-04-06 22:13:53+00:00~Manchester, United Kingdom
1644101142006095875~1338985148~None~"RT @jeorgebird: Arsenal U18s’ next league game is v West Ham, although teams won’t be quite the same. 

West Ham are undoubtedly a very goo…"~2023-04-06 22:13:52+00:00~Wien, Österreich
1644101139024187392~1404519581218054147~None~RT @UTDTrey: I promise you, Arsenal won’t survive this. https://t.co/ArTtr8KLtm~2023-04-06 22:13:52+00:00~Japan
1644101134821335040~1422998411087863808~1644082922356371456~@ArsenalBuzzCom Bro is being more bitter on Arsenal than my ex girlfriend who said to my crush that I don't erect 😅… https://t.co/KtcdlMBEeC~2023-04-06 22:13:51+00:00~
1644101122360238080~1111072967440490496~None~RT @guccimo6: Like if you want Fabio Carvalho to start against arsenal👍 https://t.co/Dkbmujyb0k~2023-04-06 22:13:48+00:00~Terengganu Darul Iman
1644101113170231298~1157383886944579584~None~RT @nickvann1987__: 🔴⚪️All 3 of Arsenal’s goals vs Bournemouth, hook it into your veins 💯⚪️🔴 https://t.co/stZxxQK6bs~2023-04-06 22:13:45+00:00~
1644101110381027332~1436182926~None~"RT @Gunnersc0m: Frank Lampard back at Chelsea?

Throwback to Gabriel Martinelli scoring THAT goal against his team at Stamford Bridge 💫🔴…"~2023-04-06 22:13:45+00:00~Abuja, Nigeria
1644101102588010497~1593707336606040066~None~"RT @ArsenalFC_fl: Latest Arsenal injury news with updates on William Saliba and Eddie Nketiah🤕

https://t.co/aB0ZNVBEOK"~2023-04-06 22:13:43+00:00~
1644101094358896640~894585357924216832~None~RT @UtdDistrict: #mufc’s interest in Alexis Mac Allister is ‘absolutely confirmed’. Arsenal and Liverpool also have confirmed interest. [@C…~2023-04-06 22:13:41+00:00~Al Madinah Al Munawwarah, King
1644101094019153924~209573120~None~RT @TikiTakaConnor: 🚨| Arsenal vs. Brighton moved to 16:30pm on Sunday 14th May. Live on SkySports.~2023-04-06 22:13:41+00:00~UK
1644101091313819649~416642391~None~RT @terry65919713: We play  Arsenal on Easter Sunday at Anfield.. Just sayin https://t.co/AQ1uHWqFqf~2023-04-06 22:13:40+00:00~Ireland
1644101083977883655~941964920563945472~None~"RT @Arsenal: A big thank you from @LTrossard ❤️

Our March Player of the Month 🏆 https://t.co/CjUwcPuNYn"~2023-04-06 22:13:38+00:00~Caen, France
1644101076822392833~1554843127286038528~1643588357186887680~@iLotNG_Official Liverpool 3  2 Arsenal~2023-04-06 22:13:37+00:00~
1644101076784750592~1316425865291534336~1644085254829883393~@FplFraud @avisualgame Watching potter’s chelsea is not enough, watch newcastle brighton brentford arsenal city ful… https://t.co/W1foFk2fHk~2023-04-06 22:13:37+00:00~
1644101074393915395~424308895~None~RT @AlbicelesteTalk: (🌕) “The interest of Arsenal, Manchester United and Liverpool in Alexis Mac Allister is absolutely confirmed. What I c…~2023-04-06 22:13:36+00:00~Stockholm, Sverige
1644101073768964098~1338985148~None~"RT @jeorgebird: West Ham are confirmed as Arsenal’s opponents in the final of the FA Youth Cup after they beat Southampton 6-1 tonight. 

T…"~2023-04-06 22:13:36+00:00~Wien, Österreich
1644101067733450753~1068210485328314369~None~Anyone who sees this, please follow @totaljdp~2023-04-06 22:13:35+00:00~
1644101065938272256~927515591639957504~None~RT @gyaigyimii: Tomorrow is Fridayyy which means one thing. Spooky is on his way to Accra to watch an Arsenal game on Sunday. https://t.co/…~2023-04-06 22:13:34+00:00~New Jersey, USA
1644101056777912322~1478437693~None~"RT @charles_watts: Cult hero, master of the dark arts, wind up merchant and a bloody brilliant footballer.

A piece on Ben White - Arsenal’…"~2023-04-06 22:13:32+00:00~Ireland
1644101051585363970~3149644665~None~"RT @Gunnersc0m: John Barnes: ""Ben White has given Arsenal some defensive strength. Arsenal has been a bit thrills at the back previously. B…"~2023-04-06 22:13:31+00:00~Lagos, Nigeria
1644101049806888962~1530667064997908486~1644099316930301953~@lcfckini Feel like shit just want Madders to keep us up and then sign for Arsenal~2023-04-06 22:13:30+00:00~London, England
1644101044090159108~945756555089186816~None~RT @UtdPlug: 🚨🇦🇷 “The interest of Arsenal, Manchester United and Liverpool in Alexis Mac Allister is absolutely confirmed. What I can confi…~2023-04-06 22:13:29+00:00~Undecided 
1644101042982756353~327627125~None~RT @now_arsenaI: Granit Xhaka says Arsenal are going to Anfield for the three points and nothing less. #afc https://t.co/DOe37hcIIp~2023-04-06 22:13:29+00:00~Globaly Active (•͡.̮  ͡) 
1644101042811052039~1518674030580027392~None~"RT @pepesgrandma: Michelle Kolts, who was “consumed"" by the Oklahoma City and Columbine attacks is set free with no record. 

Michelle was…"~2023-04-06 22:13:29+00:00~
1644101037932806144~2546746246~None~RT @UtdDistrict: #mufc’s interest in Alexis Mac Allister is ‘absolutely confirmed’. Arsenal and Liverpool also have confirmed interest. [@C…~2023-04-06 22:13:28+00:00~Somewhere spacial 
1644101035189780482~1857464168~1643019731497099267~@nonewthing It's funny how arsenal fans are dreaming to sign a player that is way beyond their level. Imagine think… https://t.co/C1ADyxTzbZ~2023-04-06 22:13:27+00:00~
1644101031561756677~629608339~None~RT @khesraw_: I was seeing Arsenal fans making comps &amp; tweeting as if they ever had a chance.~2023-04-06 22:13:26+00:00~Nigeria
1644101028097261572~1588920374263250944~None~RT @saltimes: 1-1 here at Anfield in injury time, Arsenal looking for the winner here, It’s Saka, TROSSAAAAAAAAARD THE LITTLE BELGIAN HAS D…~2023-04-06 22:13:25+00:00~Nigeria
1644101020010545154~1881056371~None~RT @now_arsenaI: Granit Xhaka says Arsenal are going to Anfield for the three points and nothing less. #afc https://t.co/DOe37hcIIp~2023-04-06 22:13:23+00:00~...in the PRESENT!!!
1644101013996023808~1213842886216695808~None~Imagine Auba dumping it off at the emirates and he does a backflip in front of the Arsenal fans after a 95th minute… https://t.co/KMZ9mucXfu~2023-04-06 22:13:22+00:00~London, England
1644101012477681666~1299101071537733632~None~RT @AnythingLFC_: Need to see some Nunez madness on Sunday vs Arsenal 🔥 https://t.co/rfEOH66yjv~2023-04-06 22:13:21+00:00~Liverpool, England
1644101011265527808~3258978506~None~"RT @TheAnfieldTalk: (🟢) NEW: 

“The interest of Arsenal, Manchester United and Liverpool in Alexis Mac Allister is absolutely confirmed. Wh…"~2023-04-06 22:13:21+00:00~
1644101010892234752~1635375367996276738~None~"🔴| @CLMerlo on Alexis Mac Allister:

“The interest of Arsenal, #MUFC and Liverpool in Mac Allister is absolutely co… https://t.co/J9pT3XIhqF"~2023-04-06 22:13:21+00:00~Manchester, England
1644101010745434112~1592119658651557888~None~"RT @Arsenal: A big thank you from @LTrossard ❤️

Our March Player of the Month 🏆 https://t.co/CjUwcPuNYn"~2023-04-06 22:13:21+00:00~
1644101004692971520~1043573323651788800~None~"RT @btsportfootball: Leandro Trossard has already bagged 8 goal contributions in his just 11 games for Arsenal! 🔥

He's off to a flying sta…"~2023-04-06 22:13:20+00:00~Ogun, Nigeria
1644101003279572993~814784104331878400~None~"RT @Gunnersc0m: The Arsenal’s player of the month for March ❤️ 

 https://t.co/KCxG1C3PsV"~2023-04-06 22:13:19+00:00~lagos
1644100994781806592~1132445138364588032~None~RT @City_Xtra: John Stones has been dribbled past 𝘁𝘄𝗶𝗰𝗲 in 1360 #PL minutes this season, equating to 0.13 per 90 minutes - the best in the…~2023-04-06 22:13:17+00:00~
1644100989970968577~1481781178101338113~None~"RT @Arsenalnewschan: 🗣️#Arsenal legend Ray Parlour on Bukayo Saka being rested for the first hour of the Leeds game: ""Saka will be fresh an…"~2023-04-06 22:13:16+00:00~The Hidden Leaf
